Date,MenuItem,Category,Price,Quantity,Sales,Rating,Feedback,CustomerAge,CustomerGender,ReservationTime,WaitStaff,PaymentMethod,Weather,SpecialEvent,TableSize
20-02-2023,Stuffed Mushrooms,Appetizer,10.49,20,209.8,4.3,Good,37,Male,19:00,James,Credit Card,Sunny,None,3
22-02-2023,Sushi Sashimi Combo,Main Course,19.99,28,559.72,4.8,Excellent,33,Female,18:45,Susan,Cash,Partly Cloudy,None,4
25-02-2023,Stroganoff,Main Course,15.99,30,479.7,4.4,Good,35,Male,19:15,John,Debit Card,Sunny,None,4
10-01-2023,Guacamole,Appetizer,6.99,25,174.75,4.1,Good,28,Female,18:30,Sarah,Cash,Cloudy,None,3
12-01-2023,Tenders,Main Course,12.49,32,399.68,4.3,Good,42,Female,18:45,Michael,Credit Card,Rainy,Family Gathering,5
15-01-2023,Apple Pie,Dessert,7.99,20,159.8,4.2,Good,49,Male,19:30,Emily,Debit Card,Sunny,None,2
20-01-2023,Shrimp Cocktail,Appetizer,9.99,18,179.82,4.6,Excellent,33,Female,20:00,David,Credit Card,Partly Cloudy,None,2
22-01-2023,Steak Fajitas,Main Course,16.99,28,475.72,4.5,Excellent,31,Male,18:15,Lisa,Cash,Rainy,None,4
25-01-2023,New York Cheesecake,Dessert,8.99,16,143.84,4,Good,46,Male,19:45,Robert,Debit Card,Sunny,None,2
30-01-2023,Onion Soup,Appetizer,7.49,23,172.27,4.4,Good,29,Male,18:30,Karen,Debit Card,Cloudy,Corporate Event,3
02-02-2023,Lobster Bisque,Appetizer,11.99,14,167.86,4.3,Good,37,Female,19:15,James,Credit Card,Sunny,None,2
05-02-2023,Tamales,Main Course,14.99,22,329.78,4.6,Excellent,35,Male,19:00,Susan,Cash,Partly Cloudy,None,1
10-02-2023,Bruschetta,Appetizer,7.99,19,151.81,4.2,Good,44,Male,19:30,Sarah,Debit Card,Partly Cloudy,Family Gathering,2
15-02-2023,Tacos,Main Course,13.49,26,350.74,4.3,Good,39,Male,18:15,Michael,Credit Card,Rainy,None,4
18-02-2023,Chocolate Fondue,Dessert,9.99,18,179.82,4.6,Excellent,27,Female,19:45,Emily,Credit Card,Sunny,Family Gathering,2
20-02-2023,Sushi Sashimi Combo,Main Course,21.99,24,527.76,4.5,Excellent,35,Male,20:00,David,Debit Card,Cloudy,None,3
22-02-2023,Stew,Main Course,14.99,32,479.68,4.4,Good,36,Female,18:45,Lisa,Cash,Partly Cloudy,None,4
25-02-2023,Chocolate Cake,Dessert,8.99,20,179.8,4.1,Good,42,Male,19:30,Robert,Credit Card,Sunny,Family Gathering,2
07-11-2023,Spinach Dip,Appetizer,6.99,23,160.77,4.3,Good,29,Female,19:15,Karen,Debit Card,Partly Cloudy,None,3
08-11-2023,Quesadilla,Main Course,12.49,30,374.7,4.2,Good,32,Female,18:30,James,Credit Card,Rainy,None,5
09-11-2023,Apple Pie,Dessert,7.99,17,135.83,4,Good,49,Male,19:45,Susan,Debit Card,Partly Cloudy,Family Gathering,2
